duration,language,movie_id,production_country,rank,release_date,title,type1,type2,type3
95,汉语普通话,29984000,中国大陆,6.2,2021-06-12,热带往事,剧情,悬疑,犯罪
98,汉语普通话,26823520,中国大陆,4.9,2021-09-19,日常幻想指南,喜剧,爱情,奇幻
100,法语,35318021,法国,8.1,2021-09-06,正发生 L'Événement,剧情,,
95,汉语普通话,26382960,中国大陆,3.2,2021-04-16,八月未央,爱情,,
97,日语,35307624,日本,8.1,2021-06-11,渔港的肉子酱 漁港の肉子ちゃん,动画,,
152,英语 / 德语 / 法语 / 拉丁语,34658290,美国 / 英国,8.3,2021-09-10,最后的决斗 The Last Duel,剧情,历史,
126,韩语,30409439,韩国,8.8,2021-03-31,兹山鱼谱 자산어보,剧情,历史,古装
116,汉语普通话,34779692,中国大陆,6.8,2021-02-12,新神榜：哪吒重生,动作,动画,奇幻
100,汉语普通话 / 合肥方言,30434747,中国大陆,6.9,2022-11-25,不要再见啊，鱼花塘,剧情,歌舞,
129,汉语普通话,35087699,中国大陆,6.9,2021-07-09,中国医生,剧情,灾难,
148,英语 / 他加禄语,26933210,美国,6.6,2021-12-15,蜘蛛侠：英雄无归 Spider-Man: No Way Home,动作,科幻,奇幻
127,汉语普通话 / 四川话,35158160,中国大陆,6.9,2021-04-02,我的姐姐,剧情,家庭,
105,汉语普通话,25881778,中国大陆,6.0,2021-05-20,我要我们在一起,剧情,爱情,
131,汉语普通话,30435124,中国大陆,6.8,2021-07-23,白蛇2：青蛇劫起,动画,奇幻,冒险
156,英语 / 汉语普通话,3001114,美国,7.7,2021-10-22,沙丘 Dune,剧情,科幻,冒险
156,汉语普通话,35294995,中国大陆,6.5,2021-09-30,我和我的父辈,剧情,,
104,汉语普通话 / 粤语,35144311,中国大陆,8.3,2021-12-17,雄狮少年,剧情,喜剧,动画
118,汉语普通话,35068653,中国大陆,5.7,2021-12-17,误杀2,剧情,犯罪,
112,汉语普通话 / 沪语,35376457,中国大陆,8.1,2021-12-24,爱情神话,剧情,喜剧,爱情
130,汉语普通话,26826330,中国大陆,6.5,2021-02-12,刺杀小说家,动作,奇幻,冒险
115,英语,30337388,美国 / 加拿大,7.5,2021-08-27,失控玩家 Free Guy,喜剧,动作,科幻
120,汉语普通话 / 英语 / 俄语,32493124,中国大陆 / 中国香港,7.6,2021-04-30,悬崖之上,剧情,动作,悬疑
123,汉语普通话,35422807,中国大陆,7.4,2021-11-11,扬名立万,剧情,喜剧,悬疑
176,汉语普通话 / 英语,25845392,中国大陆 / 中国香港,7.4,2021-09-30,长津湖,剧情,历史,战争
124,日语,34874432,日本,8.6,2022-02-22,花束般的恋爱 花束みたいな恋をした,剧情,爱情,
136,汉语普通话 / 日语 / 英语 / 泰语,27619748,中国大陆 / 中国香港 / 日本,5.3,2021-02-12,唐人街探案3,喜剧,悬疑,
128,汉语普通话,34841067,中国大陆,7.7,2021-02-12,你好，李焕英,剧情,喜剧,奇幻
103,汉语普通话,35478908,中国大陆,5.8,2021-06-05,鬼吹灯之黄皮子坟,悬疑,奇幻,
